id,kanji,reading,pos,meaning_zh
701,老成,ろうせい,na-adj,老成; 老练
702,老巧,ろうこう,na-adj,老练巧妙
703,弄する,ろうする,vs,玩弄; 操纵
704,労相,ろうしょう,noun,劳相（劳动大臣）
705,労基法,ろうきほう,noun,劳动基准法
706,漏話,ろうわ,noun,漏话
707,浪々,ろうろう,adv,飘零
708,論客,ろんきゃく,noun,论客
709,論考,ろんこう,noun,论文; 论考
710,和集合,わしゅうごう,noun,并集
711,腕白,わんぱく,na-adj,顽皮
712,暗然,あんぜん,na-adj,黯然
713,算法,さんぽう,noun,算法（古）
714,意義深い,いぎぶかい,na-adj,意义深远
715,一義的,いちぎてき,na-adj,单义的; 明确的
716,一顧だにしない,いっこだにしない,expr,不屑一顾
717,一元化,いちげんか,verb-noun,一元化
718,逸材,いつざい,noun,奇才
719,引用,いんよう,verb-noun,引用
720,右折,うせつ,verb-noun,右转
721,有機溶媒,ゆうきようばい,noun,有机溶剂
722,優先権,ゆうせんけん,noun,优先权
723,優越感,ゆうえつかん,noun,优越感
724,余所,よそ,noun,别处; 他处
725,予測可能性,よそくかのうせい,noun,可预测性
726,抑揚記号,よくようきごう,noun,语调符号
727,落穂拾い,おちぼひろい,noun,拾穗; 拾遗
728,濫觴,らんしょう,noun,滥觞; 根源
729,履修,りしゅう,verb-noun,修读
730,利益誘導,りえきゆうどう,noun,利益引导
731,良妻賢母,りょうさいけんぼ,noun,贤妻良母
732,臨検,りんけん,verb-noun,临检
733,類語,るいご,noun,类语; 同义词
734,冷厳,れいげん,na-adj,冷峻; 严峻
735,零細化,れいさいか,verb-noun,细碎化
736,労組法,ろうそほう,noun,工会法
737,労使,ろうし,noun,劳资
738,老齢,ろうれい,noun,高龄
739,浪人生活,ろうにんせいかつ,noun,复读生活/待业
740,論説,ろんせつ,noun,评论; 论文
741,和文和訳,わぶんわやく,noun,日文互译
742,腕利き,うできき,na-adj,能干; 有本事
743,暗雲,あんうん,noun,乌云
744,算段,さんだん,verb-noun,筹划
745,違和感,いわかん,noun,违和感
746,一見,いっけん,adv,乍看
747,一向に,いっこうに,adv,丝毫（不）
748,一挙両得,いっきょりょうとく,noun,一举两得
749,逸失,いっしつ,noun,丧失
750,引用文,いんようぶん,noun,引文
751,右往左往する,うおうさおうする,vs,慌乱
752,有利不利,ゆうりふり,noun,有利与不利
753,優先順位,ゆうせんじゅんい,noun,优先顺序
754,余談,よだん,noun,题外话
755,予想外,よそうがい,na-adj,意外
756,抑え込む,おさえこむ,v1,压制
757,落花生,らっかせい,noun,花生
758,濫費,らんぴ,verb-noun,浪费
759,履修登録,りしゅうとうろく,noun,选课注册
760,利益相反,りえきそうはん,noun,利益冲突
761,良策,りょうさく,noun,良策
762,臨床心理,りんしょうしんり,noun,临床心理
763,類推法,るいすいほう,noun,类推法
764,冷笑,れいしょう,verb-noun,冷笑
765,零細事業者,れいさいじぎょうしゃ,noun,小微经营者
766,労使関係,ろうしかんけい,noun,劳资关系
767,労相就任,ろうしょうしゅうにん,noun,就任劳动大臣
768,老獪,ろうかい,na-adj,老奸巨猾
769,浪費癖,ろうひぐせ,noun,浪费习惯
