あいまい	曖昧 (na-adj) — 含糊; 模棱两可
そうい	相違 (noun) — 差异; 不同
がっち	合致 (verb-noun) — 一致; 符合
いつだつ	逸脱 (verb-noun) — 偏离; 违背
うらづけ	裏付け (noun) — 证据; 支撑
かいにゅう	介入 (verb-noun) — 介入; 干预
がいねん	概念 (noun) — 概念
がいりゃく	概略 (noun) — 概要
かく	核 (noun) — 核心; 核
かどう	稼働 (verb-noun) — 运转; 运行
かそ	過疎 (noun) — 人口稀少化
かみ	加味 (verb-noun) — 加以考虑; 调味
かんわ	緩和 (verb-noun) — 缓和; 放宽
ききゃく	棄却 (verb-noun) — 驳回; 驳斥
きはん	規範 (noun) — 规范
きはく	希薄 (na-adj) — 稀薄; 淡薄
きふく	起伏 (noun) — 起伏; 变化
きゃくしょく	脚色 (verb-noun) — 润色; 改编
きょぎ	虚偽 (noun) — 虚假; 伪造
むじゅん	矛盾 (noun) — 矛盾
きんこう	均衡 (noun) — 均衡; 平衡
ぎんみ	吟味 (verb-noun) — 斟酌; 审查
くし	駆使 (verb-noun) — 熟练运用
くとうてん	句読点 (noun) — 标点符号
ぐんしゅう	群集 (noun) — 群体; 群众
けいしゃ	傾斜 (verb-noun) — 倾斜; 偏向
けいしょう	継承 (verb-noun) — 继承
けいがいか	形骸化 (verb-noun) — 形式化; 空洞化
けいじ	掲示 (verb-noun) — 公告; 张贴
けつじょ	欠如 (verb-noun) — 缺乏
けんちょ	顕著 (na-adj) — 显著
けんしょう	検証 (verb-noun) — 验证; 证实
げんみつ	厳密 (na-adj) — 严密; 精确
ごさ	誤差 (noun) — 误差
ごかん	互換 (noun) — 互换; 兼容
こりつ	孤立 (verb-noun) — 孤立
こんどう	混同 (verb-noun) — 混淆
さいげん	再現 (verb-noun) — 再现; 复现
さいたく	採択 (verb-noun) — 采纳
さいりょう	裁量 (noun) — 裁量; 自主决定
そしゃく	咀嚼 (verb-noun) — 咀嚼; 反复体会
させん	左遷 (verb-noun) — 降职; 贬职
さくい	作為 (noun) — 人为; 做作
さっかく	錯覚 (noun) — 错觉
だきょう	妥協 (verb-noun) — 妥协
だとう	妥当 (na-adj) — 妥当; 合理
だらく	堕落 (verb-noun) — 堕落
たんいつ	単一 (noun) — 单一
ちんぷ	陳腐 (na-adj) — 陈腐; 老套
ついきゅう	追及 (verb-noun) — 追究; 追问
ついきゅう	追求 (verb-noun) — 追求
ついせき	追跡 (verb-noun) — 追踪
ていけい	提携 (verb-noun) — 合作; 结成伙伴
ていじ	提示 (verb-noun) — 出示; 提示
ていせい	訂正 (verb-noun) — 订正
てってい	徹底 (verb-noun) — 彻底
てんか	転嫁 (verb-noun) — 转嫁
とうかつ	統括 (verb-noun) — 统筹; 总括
とうごう	統合 (verb-noun) — 整合; 统合
とうたつ	到達 (verb-noun) — 到达
どうちょう	同調 (verb-noun) — 同调; 附和
どうこう	動向 (noun) — 动向; 趋势
とうた	淘汰 (verb-noun) — 淘汰
とくひつ	特筆 (verb-noun) — 特笔; 特别值得一提
ないほう	内包 (verb-noun) — 内涵; 包含
なんこう	難航 (verb-noun) — 进展困难
はきゅう	波及 (verb-noun) — 波及; 影响扩散
はたん	破綻 (verb-noun) — 破产; 破绽
ばっすい	抜粋 (verb-noun) — 摘录; 选录
ばっそく	罰則 (noun) — 惩罚条款
ほっそく	発足 (verb-noun) — 成立; 启动
はんえい	反映 (verb-noun) — 反映
はんえい	繁栄 (verb-noun) — 繁荣
はんらん	氾濫 (verb-noun) — 泛滥
ひだいか	肥大化 (verb-noun) — 肥大化; 过度膨胀
ひなん	非難 (verb-noun) — 非难; 指责
ひけつ	否決 (verb-noun) — 否决
ひへい	疲弊 (verb-noun) — 疲敝; 衰弱
ふずい	付随 (verb-noun) — 附带; 伴随
ふじょう	浮上 (verb-noun) — 浮现; 上浮
ふはい	腐敗 (verb-noun) — 腐败
ふにん	赴任 (verb-noun) — 赴任
ふか	負荷 (noun) — 负荷
ふんきゅう	紛糾 (verb-noun) — 纷争; 纠葛
ぶんき	分岐 (verb-noun) — 分岐; 分叉
へいこう	並行 (verb-noun) — 并行; 同时进行
へいさ	閉鎖 (verb-noun) — 封闭; 关闭
へんせん	変遷 (verb-noun) — 变迁
ほかん	補完 (verb-noun) — 补完; 补充
ほそく	補足 (verb-noun) — 补充; 补足
もさく	模索 (verb-noun) — 摸索
もうら	網羅 (verb-noun) — 网罗; 全面覆盖
ゆうえき	有益 (na-adj) — 有益
ゆうち	誘致 (verb-noun) — 引进; 招徕
よくせい	抑制 (verb-noun) — 抑制; 控制
よだん	予断 (noun) — 预断; 过早判断
らいほう	来訪 (verb-noun) — 来访
りがい	利害 (noun) — 利害
るふ	流布 (verb-noun) — 流传; 散布
れいぐう	冷遇 (verb-noun) — 冷遇
ろうひ	浪費 (verb-noun) — 浪费
ろてい	露呈 (verb-noun) — 暴露; 揭示
ろんきょ	論拠 (noun) — 论据
ろんし	論旨 (noun) — 论旨; 主旨
かつあい	割愛 (verb-noun) — 割爱; 舍弃
かくぜつ	隔絶 (verb-noun) — 隔绝
かくしん	確信 (verb-noun) — 确信
かくりつ	確立 (verb-noun) — 确立
かど	過度 (na-adj) — 过度
かんしょう	干渉 (verb-noun) — 干涉
かんし	監視 (verb-noun) — 监视
かんてつ	貫徹 (verb-noun) — 贯彻
はたじるし	旗印 (noun) — 旗号; 旗帜
きせい	既成 (na-adj) — n 既成; 现成
きひ	忌避 (verb-noun) — 回避; 忌讳
ききゅう	希求 (verb-noun) — 渴求; 希求
きいん	起因 (verb-noun) — 起因; 由来
きぐ	危惧 (verb-noun) — 担忧; 忧虑
きゆう	稀有 (na-adj) — 稀有
きんしつ	均質 (na-adj) — 均质; 同质
きんみつ	緊密 (na-adj) — 紧密
きんもつ	禁物 (noun) — 忌讳之物; 应避免的事
くどう	駆動 (verb-noun) — 驱动
くっさく	掘削 (verb-noun) — 开采; 开挖
けいそう	係争 (verb-noun) — 争议; 诉讼
こうりょう	綱領 (noun) — 纲领
こうじょう	恒常 (na-adj) — 恒常; 持续稳定
こうべん	抗弁 (verb-noun) — 抗辩
こうしょう	考証 (verb-noun) — 考证
ごうぎ	合議 (verb-noun) — 合议; 合议制
ごびゅう	誤謬 (noun) — 谬误
さいへん	再編 (verb-noun) — 重组; 再编
さいねん	再燃 (verb-noun) — 死灰复燃
さいさん	採算 (noun) — 经济核算; 收支
