びょうしゃ	描写 (verb-noun) — 描写
びょうしん	秒針 (noun) — 秒针
びょうそう	病巣 (noun) — 病灶
ひんい	品位 (noun) — 品位
ひんしつ	品質 (noun) — 品质
ひんけつ	貧血 (noun) — 贫血
ひんぱん	頻繁 (na-adj) — 频繁
ふきょう	不況 (noun) — 不景气
ふきんこう	不均衡 (na-adj) — 不均衡
ふかぎゃく	不可逆 (na-adj) — 不可逆
ふかひ	不可避 (na-adj) — 不可避免
ふかくじつ	不確実 (na-adj) — 不确定
ふきゅう	不急 (na-adj) — 不紧急
ふへん	不偏 (na-adj) — 不偏不倚
ふふく	不服 (verb-noun) — 不服
ふたい	付帯 (verb-noun) — 附带
ふよ	付与 (verb-noun) — 赋予
ふしょう	負傷 (verb-noun) — 负伤
ふどう	浮動 (verb-noun) — 浮动
ふきゅう	普及 (verb-noun) — 普及
ふしょく	腐食 (verb-noun) — 腐蚀
ふじん	婦人 (noun) — 妇人
ふめん	譜面 (noun) — 谱子
ぶき	武器 (noun) — 武器
ぶたい	舞台 (noun) — 舞台
ぶい	部位 (noun) — 部位
ぶんさん	分散 (verb-noun) — 分散
ぶんたん	分担 (verb-noun) — 分担
ぶんり	分離 (verb-noun) — 分离
ぶんご	文語 (noun) — 文语
ききとり	聞き取り (noun) — 听力
へいき	併記 (verb-noun) — 并记
へいはつ	併発 (verb-noun) — 并发
べいか	米価 (noun) — 米价
へきめん	壁面 (noun) — 壁面
へんざい	偏在 (verb-noun) — 偏在
へんさ	偏差 (noun) — 偏差
ほしょう	補償 (verb-noun) — 补偿
ほそく	捕捉 (verb-noun) — 捕捉
ほぜん	保全 (verb-noun) — 保全
ほぜんせい	保全性 (noun) — 可靠性（保全性）
ほしゅ	保守 (na-adj) — 保守
ほしょう	保障 (verb-noun) — 保障
ほじ	保持 (verb-noun) — 保持
ぼしゅう	募集 (verb-noun) — 募集
ぼたい	母体 (noun) — 母体
ぼご	母語 (noun) — 母语
ぼつにゅう	没入 (verb-noun) — 沉浸
ぼっとう	没頭 (verb-noun) — 埋头; 专注
ぼつらく	没落 (verb-noun) — 没落
ほんい	翻意 (verb-noun) — 改变主意
はんれい	凡例 (noun) — 凡例
ばんべつ	万別 (noun) — 千差万别
まんべんなく	満遍なく (adv) — 全面地; 平均地
みつりょう	密猟 (verb-noun) — 偷猎
みっちゃく	密着 (verb-noun) — 密切联系; 贴紧
むい	無為 (na-adj) — 无为
むがい	無害 (na-adj) — 无害
むしょう	無償 (na-adj) — 无偿
むのう	無能 (na-adj) — 无能
むぼう	無謀 (na-adj) — 鲁莽
むよう	無用 (na-adj) — 无用; 多余
ほこさき	矛先 (noun) — 矛头
むに	無二 (na-adj) — 无二; 唯一
なごり	名残 (noun) — 余韵; 依恋
めいかい	明快 (na-adj) — 明快
めいはく	明白 (na-adj) — 明白
めいよ	名誉 (noun) — 名誉
めつぼう	滅亡 (verb-noun) — 灭亡
めんせき	免責 (verb-noun) — 免责
おもかげ	面影 (noun) — 面影; 旧貌
めんもく	面目 (noun) — 面子; 面目
もうまく	網膜 (noun) — 视网膜
もくげき	目撃 (verb-noun) — 目击
もくろく	目録 (noun) — 目录
もくろみ	目論見 (noun) — 打算; 计划
とんや	問屋 (noun) — 批发商
やっかい	厄介 (na-adj) — 麻烦
やとう	野党 (noun) — 在野党; 反对党
やばん	野蛮 (na-adj) — 野蛮
やくしょく	役職 (noun) — 职务
やくしん	躍進 (verb-noun) — 跃进
ゆらい	由来 (verb-noun) — 由来
ゆうぜい	遊説 (verb-noun) — 巡回演说
ゆうだい	雄大 (na-adj) — 雄伟
ゆうずう	融通 (verb-noun) — 通融; 变通
ようせい	要請 (verb-noun) — 要请; 请求
ようしょう	要衝 (noun) — 要冲
よくよう	抑揚 (noun) — 抑扬顿挫
よび	予備 (na-adj) — 预备; 备用
よはく	余白 (noun) — 空白; 页边
たより	頼り (noun) — 依靠; 线索
らくさ	落差 (noun) — 差距
らくたん	落胆 (verb-noun) — 沮丧
らんぼう	乱暴 (na-adj) — 粗暴
りじゅん	利潤 (noun) — 利润
りゃくだつ	略奪 (verb-noun) — 掠夺
りんかい	臨界 (noun) — 临界
りんかく	輪郭 (noun) — 轮廓
るいせき	累積 (verb-noun) — 累积
