たいがい	対外 (na-adj) — 对外
たいか	対価 (noun) — 对价; 代价
たいち	対置 (verb-noun) — 对置; 对照
たいせい	耐性 (noun) — 耐性; 抵抗力
たいまん	怠慢 (na-adj) — 怠慢
ていさい	体裁 (noun) — 体面; 格式
たいほ	逮捕 (verb-noun) — 逮捕
たいとう	台頭 (verb-noun) — 抬头; 兴起
たいひ	退避 (verb-noun) — 退避; 规避
たいこう	退行 (verb-noun) — 退行
だいたい	代替 (verb-noun) — 替代; 代替
りっきゃく	立脚 (verb-noun) — 立足
だっきゃく	脱却 (verb-noun) — 摆脱
たんぽ	担保 (verb-noun) — 担保
たんらく	短絡 (verb-noun) — 短路; 简单化
たんち	探知 (verb-noun) — 探测
たんまつ	端末 (noun) — 终端
だんこう	断行 (verb-noun) — 断然实行
だんげん	断言 (verb-noun) — 断言
だんぜつ	断絶 (verb-noun) — 断绝
ちかく	知覚 (verb-noun) — 知觉
ちのう	知能 (noun) — 智能
ちし	致死 (verb-noun) — 致死
ちえん	遅延 (verb-noun) — 延迟
ちくせき	蓄積 (verb-noun) — 积累
ちつじょ	秩序 (noun) — 秩序
ちゅうしょう	抽象 (na-adj) — 抽象
ちゅうすう	中枢 (noun) — 中枢
ちゅうじつ	忠実 (na-adj) — 忠实
ちょうめ	丁目 (noun) — 几丁目（地址单位）
ちょっかん	直感 (noun) — 直觉
ちんぷか	陳腐化 (verb-noun) — 陈旧化
ちんせいか	沈静化 (verb-noun) — 平息
ちんちゃく	沈着 (na-adj) — 沉着
ちんたい	沈滞 (verb-noun) — 停滞
ついきゅう	追究 (verb-noun) — 探究
つうかん	痛感 (verb-noun) — 痛感
つうたつ	通達 (verb-noun) — 通达; 通知
つくだに	佃煮 (noun) — 酱煮小菜
つらぬく	貫く (v5) — 贯穿; 贯彻
てうす	手薄 (na-adj) — 薄弱; 不充足
てきよう	適用 (verb-noun) — 适用
てきはつ	摘発 (verb-noun) — 揭发
てっとうてつび	徹頭徹尾 (adv) — 彻头彻尾
てんい	転移 (verb-noun) — 转移
てんさい	転載 (verb-noun) — 转载
てんしん	転身 (verb-noun) — 转身; 转行
てんぞく	転属 (verb-noun) — 转属
てんざい	点在 (verb-noun) — 点在
てんきょ	典拠 (noun) — 典据; 依据
とうは	党派 (noun) — 党派
とうらい	到来 (verb-noun) — 到来
とうにゅう	投入 (verb-noun) — 投入
どうぎ	同義 (noun) — 同义
どうきょ	同居 (verb-noun) — 同居
どうたい	動態 (noun) — 动态
どうこう	瞳孔 (noun) — 瞳孔
どうとう	同等 (na-adj) — 同等
どうふう	同封 (verb-noun) — 同封
どうさつ	洞察 (verb-noun) — 洞察
どうにゅう	導入 (verb-noun) — 导入
どうぞう	銅像 (noun) — 铜像
とくせい	特性 (noun) — 特性
とくてん	得点 (verb-noun) — 得分
どくせん	独占 (verb-noun) — 独占
どくじ	独自 (na-adj) — 独自
どくだん	独断 (noun) — 独断
どっかい	読解 (noun) — 读解
ないざい	内在 (noun) — 内在
ないせい	内製 (verb-noun) — 自研; 内制
のうき	納期 (noun) — 交付期; 交货期
なっとく	納得 (verb-noun) — 理解; 同意
なんだい	難題 (noun) — 难题
なんか	軟化 (verb-noun) — 软化
にぎてき	二義的 (na-adj) — 次要的
にんめい	任命 (verb-noun) — 任命
にんか	認可 (verb-noun) — 许可
にんしょう	認証 (verb-noun) — 认证
ばっぽん	抜本 (na-adj) — 根本; 彻底
はじ	把持 (verb-noun) — 把持; 掌握
はだん	破断 (verb-noun) — 断裂
はかく	破格 (na-adj) — 破格; 特例
ばかしょうじき	馬鹿正直 (na-adj) — 过分老实
はばつ	派閥 (noun) — 派阀
はちょう	波長 (noun) — 波长
はけん	派遣 (verb-noun) — 派遣
はたん	破綻 (verb-noun) — 破产; 破绽
はっき	発揮 (verb-noun) — 发挥
はっくつ	発掘 (verb-noun) — 发掘
はつげん	発言 (verb-noun) — 发言
はっちゅう	発注 (verb-noun) — 下单
はんかん	反感 (noun) — 反感
はんきょう	反響 (verb-noun) — 反响
はんしゃ	反射 (verb-noun) — 反射
はんしょう	反証 (verb-noun) — 反证
はんそく	反則 (verb-noun) — 犯规
はんよう	汎用 (na-adj) — 通用; 泛用
ばんそう	伴走 (verb-noun) — 陪跑; 陪伴
みじん	微塵 (noun) — 微尘; 丝毫
びとく	美徳 (noun) — 美德
