るいすい	類推 (verb-noun) — 类推
るいか	累加 (verb-noun) — 累加
れいぐう	冷遇 (verb-noun) — 冷遇
れいらく	零落 (verb-noun) — 衰落
ろうさい	労災 (noun) — 工伤
ろうろう	朗々 (adv) — 朗朗
ろうそ	労組 (abbr) — 工会（労働組合）
なみうちぎわ	浪打ち際 (noun) — 浪打处; 海岸边
なにわぶし	浪花節 (noun) — 浪花调（说唱）
ろんし	論旨 (noun) — 论旨
ろんしゅう	論集 (noun) — 论文集
わぶん	和文 (noun) — 日文（文体）
わようせっちゅう	和洋折衷 (noun) — 和洋折衷
わへい	話柄 (noun) — 话题（口误）
わんりょく	腕力 (noun) — 腕力
あんきょ	暗渠 (noun) — 暗渠
いしょう	意匠 (noun) — 外观设计; 意匠
いっきょ	一挙 (adv) — 一举
いちよう	一様 (na-adj) — 均一; 一样
いっぴん	逸品 (noun) — 精品
いんようふ	引用符 (noun) — 引号
うおうさおう	右往左往 (verb-noun) — 东奔西走
ゆうしゅうのび	有終の美 (noun) — 画上圆满句号
ゆうけいぶんかざい	有形文化財 (noun) — 有形文化财
ゆうえつ	優越 (verb-noun) — 优越
ゆうげん	幽玄 (na-adj) — 幽玄（美学）
よそよそしい	余所余所しい (na-adj) — 冷淡; 生分
よくようとんざ	抑揚頓挫 (noun) — 抑扬顿挫
らくさかいしょう	落差解消 (verb-noun) — 消除差距
りかつよう	利活用 (verb-noun) — 利用活用
りてき	利敵 (na-adj) — 利敌
りょうぎてき	両義的 (na-adj) — 双关; 两义
りんかいてん	臨界点 (noun) — 临界点
りんせん	臨戦 (verb-noun) — 临战
るいぎご	類義語 (noun) — 近义词
るいはん	累犯 (noun) — 累犯
れいえん	霊園 (noun) — 陵园
れいかん	霊感 (noun) — 灵感
れいだんぼう	冷暖房 (noun) — 冷暖空调
れいりょう	冷涼 (na-adj) — 凉爽
ろうえき	労役 (noun) — 劳役
ろうでん	漏電 (verb-noun) — 漏电
ろうひか	浪費家 (noun) — 败家子
ろへんだんわ	炉辺談話 (noun) — 炉边谈话
ろんご	論語 (noun) — 论语
わんきょく	湾曲 (verb-noun) — 弯曲
うでずもう	腕相撲 (noun) — 掰腕子
あんしょう	暗誦 (verb-noun) — 背诵
いこじ	意固地 (na-adj) — 固执
いっかくせんきん	一攫千金 (noun) — 一夜暴富
いっきいちゆう	一喜一憂 (verb-noun) — 喜忧参半
いっちだんけつ	一致団結 (verb-noun) — 团结一致
いちはやく	逸早く (adv) — 尽快; 尽早
いんゆ	隠喩 ( noun) — 隐喻
うは	右派 (noun) — 右翼
ゆうじ	有事 (noun) — 突发事态
ゆうしき	有識 (noun) — 学识
ゆうせんど	優先度 (noun) — 优先级
よめい	余命 (noun) — 余命
よくせいてき	抑制的 (na-adj) — 抑制的
らくがき	落書き (noun) — 涂鸦
らんぞう	濫造 (verb-noun) — 滥造
りこう	履行 (verb-noun) — 履行
りまわり	利回り (noun) — 收益率
りょうしつ	良質 (na-adj) — 优质
りんじゅう	臨終 (noun) — 临终
るいすいてき	類推的 (na-adj) — 类推的
れいちょうるい	霊長類 (noun) — 灵长类
れいさいきぎょう	零細企業 (noun) — 微型企业
ろうさいほけん	労災保険 (noun) — 工伤保险
しにせ	老舗 (noun) — 老字号
ろうすい	漏水 (verb-noun) — 漏水
ろうきょく	浪曲 (noun) — 浪曲
ろんぽう	論法 (noun) — 论法
わやく	和訳 (verb-noun) — 日译
わんしょう	腕章 (noun) — 袖章
あんがい	案外 (na-adj) — 出乎意料
あんごうか	暗号化 (verb-noun) — 加密
いがいせい	意外性 (noun) — 意外性
いったい	一帯 (noun) — 一带
いっかつ	一括 (verb-noun) — 一并; 打包
いっしつりえき	逸失利益 (noun) — 预期利益损失
いんご	隠語 (noun) — 切口; 黑话
うき	右記 (noun) — 右记
ゆうかしょうけん	有価証券 (noun) — 有价证券
ゆうりょう	優良 (na-adj) — 优良
ゆういせい	優位性 (noun) — 优势性
よじょうじんいん	余剰人員 (noun) — 冗员
よご	予後 (noun) — 预后
よくしりょく	抑止力 (noun) — 威慑力
らくらい	落雷 (verb-noun) — 雷击
らんばつ	濫伐 (verb-noun) — 滥伐
りれき	履歴 (noun) — 履历
りじゅんりつ	利潤率 (noun) — 利润率
りょうこう	良好 (na-adj) — 良好
りんかい	臨海 (na-adj) — 临海
るいじ	類似 (na-adj) — 类似
れいのうしゃ	霊能者 (noun) — 灵能者
れいど	零度 (noun) — 零度
ろうく	労苦 (noun) — 劳苦
