ごうせい	合成 (verb-noun) — 合成
こちょう	誇張 (verb-noun) — 夸张
ごじょ	互助 (noun) — 互助
ごかい	誤解 (verb-noun) — 误解
ごよう	誤用 (verb-noun) — 误用
こうがく	工学 (noun) — 工程学
こうしょう	高尚 (na-adj) — 高尚
こうみょう	巧妙 (na-adj) — 巧妙
こうか	硬化 (verb-noun) — 硬化
こうかく	降格 (verb-noun) — 降级; 降职
こうりょ	考慮 (verb-noun) — 考虑
こうりゅう	交流 (verb-noun) — 交流
こうそく	拘束 (verb-noun) — 束缚; 拘束
ごうい	合意 (noun) — 合意; 共识
がっぺい	合併 (verb-noun) — 合并
こうきゅう	恒久 (na-adj) — 永久; 恒久
こうぎ	広義 (noun) — 广义
こうえき	公益 (noun) — 公益
こうせき	功績 (noun) — 功绩
こうさく	耕作 (verb-noun) — 耕作
こんめい	混迷 (verb-noun) — 混乱; 迷局
こんざつ	混雑 (verb-noun) — 拥挤
こんだん	懇談 (verb-noun) — 座谈
さいしゅつ	歳出 (noun) — 岁出; 支出
さいにゅう	歳入 (noun) — 岁入; 收入
さいくつ	採掘 (verb-noun) — 采矿; 开采
さいばい	栽培 (verb-noun) — 栽培
ざいせき	在籍 (verb-noun) — 在籍
さてい	査定 (verb-noun) — 评估; 鉴定
さくず	作図 (verb-noun) — 制图
さくしゅ	搾取 (verb-noun) — 剥削
さくいん	索引 (noun) — 索引
さくじょ	削除 (verb-noun) — 删除
さんしょう	参照 (verb-noun) — 参照
さんまん	散漫 (na-adj) — 散漫
さんぴ	賛否 (noun) — 赞成与反对
ざんぎゃく	残虐 (na-adj) — 残虐
しくみ	仕組み (noun) — 机制; 结构
しこう	施行 (verb-noun) — 施行
しさく	施策 (noun) — 施策; 措施
しこう	志向 (verb-noun) — 志向; 倾向
しこう	嗜好 (noun) — 嗜好
しきん	資金 (noun) — 资金
しさん	資産 (noun) — 资产
しさつ	視察 (verb-noun) — 视察
しさ	示唆 (verb-noun) — 启示; 暗示
じぞく	持続 (verb-noun) — 持续
ときおり	時折 (adv) — 时而; 偶尔
じぎょう	事業 (noun) — 事业
じしょう	事象 (noun) — 现象; 事象
じち	自治 (noun) — 自治
じちょう	自重 (verb-noun) — 自重; 慎重行事
じっしょう	実証 (verb-noun) — 实证
じったい	実態 (noun) — 实体; 实际情况
じっぴ	実費 (noun) — 实费; 成本价
じく	軸 (noun) — 轴
じゅうじ	従事 (verb-noun) — 从事
じゅうそく	充足 (verb-noun) — 充足
じゅうとう	充当 (verb-noun) — 充作; 划拨
ちょうほう	重宝 (na-adj) — 方便有用; 珍视
じゅうなん	柔軟 (na-adj) — 柔软; 灵活
じゅよ	授与 (verb-noun) — 授予
じゅよう	需要 (noun) — 需求
じゅん	旬 (noun) — 上中下旬之一
じゅんのう	順応 (verb-noun) — 适应
しょぐう	処遇 (verb-noun) — 待遇; 处置
しょち	処置 (verb-noun) — 处置
しょぞう	所蔵 (verb-noun) — 收藏
しょざい	所在 (noun) — 所在
しょてい	所定 (na-adj) — 规定的; 既定
しょはん	諸般 (noun) — 诸般; 各种
じょちょう	助長 (verb-noun) — 助长
じょじゅつ	叙述 (verb-noun) — 叙述
じょうしょう	上昇 (verb-noun) — 上升
じょうげん	上限 (noun) — 上限
しょうげん	証言 (verb-noun) — 证言
しょうごう	照合 (verb-noun) — 核对
しょうじゅつ	詳述 (verb-noun) — 详述
しょうとつ	衝突 (verb-noun) — 冲突
じょうせい	醸成 (verb-noun) — 酿成; 培养氛围
じょうほ	譲歩 (verb-noun) — 让步
しょうろく	抄録 (verb-noun) — 摘录; 摘要
しんこう	振興 (verb-noun) — 振兴
しんてい	進呈 (verb-noun) — 奉送; 赠送
しんちょく	進捗 (verb-noun) — 进展
しんちんたいしゃ	新陳代謝 (noun) — 新陈代谢
しんぎ	真偽 (noun) — 真伪
しんさ	審査 (verb-noun) — 审查
しんこく	申告 (verb-noun) — 申报
じんたい	人体 (noun) — 人体
じんい	人為 (noun) — 人为
じんけんひ	人件費 (noun) — 人件费
じんかく	人格 (noun) — 人格
じんかくけん	人格権 (noun) — 人格权
じんどる	陣取る (v5) — 占据; 抢占
すいじゅん	水準 (noun) — 水准
すいい	推移 (verb-noun) — 推移; 变化
すいさつ	推察 (verb-noun) — 推测
すいしょう	推奨 (verb-noun) — 推荐
すいちょく	垂直 (noun) — 垂直
すえる	据える (v1) — 安置; 摆放; 安装
すえおき	据え置き (noun) — 搁置; 保留原状
すうはい	崇拝 (verb-noun) — 崇拜
すうこう	崇高 (na-adj) — 崇高
せいぎょ	制御 (verb-noun) — 控制; 制御
せいとん	整頓 (verb-noun) — 整顿
せいか	成果 (noun) — 成果
せい	牲 (noun) — 牺牲（文語）
せいき	正規 (na-adj) — 正规; 正式
しょうたい	正体 (noun) — 真面目; 真身
せいさく	政策 (noun) — 政策
せいたいけい	生態系 (noun) — 生态系统
せいし	静止 (verb-noun) — 静止
せいこう	精巧 (na-adj) — 精巧
せいさ	精査 (verb-noun) — 精查
せいじゅく	成熟 (verb-noun) — 成熟
せいきゅう	請求 (verb-noun) — 请求; 索赔
せいさい	精彩 (na-adj) — 精彩
せいさん	清算 (verb-noun) — 清算
ぜいじゃく	脆弱 (na-adj) — 脆弱
あとつぎ	跡継ぎ (noun) — 继承人
ぜつみょう	絶妙 (na-adj) — 绝妙
ぜっか	舌禍 (noun) — 祸从口出
ぜひ	是非 (noun) — 可否; 一定要（副）
ぜにん	是認 (verb-noun) — 认可; 承认
ぜんてい	前提 (noun) — 前提
ぜんぱん	全般 (noun) — 全般; 全面
せんけつ	先決 (noun) — 先决
せんく	先駆 (verb-noun) — 先驱
せんねん	専念 (verb-noun) — 专心致志
せんこう	選考 (verb-noun) — 选拔; 审核
せんい	遷移 (verb-noun) — 迁移; 变迁
せんめい	鮮明 (na-adj) — 鲜明
ぜんと	前途 (noun) — 前途
せんこう	先行 (verb-noun) — 先行
そうさい	相殺 (verb-noun) — 相抵; 抵消
そうかつ	総括 (verb-noun) — 总括
そうぞう	創造 (verb-noun) — 创造
そうち	装置 (noun) — 装置
ほうむる	葬る (v5) — 埋葬; 封杀
そくしん	促進 (verb-noun) — 促进
そくい	即位 (verb-noun) — 即位
そくめん	側面 (noun) — 侧面
そくてい	測定 (verb-noun) — 测定
そくばく	束縛 (verb-noun) — 束缚
そっきゅう	遡及 (verb-noun) — 溯及; 追溯
そつい	訴追 (verb-noun) — 起诉; 追诉
そんとく	損得 (noun) — 得失
そんげん	尊厳 (noun) — 尊严
そんちょう	尊重 (verb-noun) — 尊重
