曖昧 (na-adj)	あいまい — 含糊; 模棱两可
相違 (noun)	そうい — 差异; 不同
合致 (verb-noun)	がっち — 一致; 符合
逸脱 (verb-noun)	いつだつ — 偏离; 违背
裏付け (noun)	うらづけ — 证据; 支撑
介入 (verb-noun)	かいにゅう — 介入; 干预
概念 (noun)	がいねん — 概念
概略 (noun)	がいりゃく — 概要
核 (noun)	かく — 核心; 核
稼働 (verb-noun)	かどう — 运转; 运行
過疎 (noun)	かそ — 人口稀少化
加味 (verb-noun)	かみ — 加以考虑; 调味
緩和 (verb-noun)	かんわ — 缓和; 放宽
棄却 (verb-noun)	ききゃく — 驳回; 驳斥
規範 (noun)	きはん — 规范
希薄 (na-adj)	きはく — 稀薄; 淡薄
起伏 (noun)	きふく — 起伏; 变化
脚色 (verb-noun)	きゃくしょく — 润色; 改编
虚偽 (noun)	きょぎ — 虚假; 伪造
矛盾 (noun)	むじゅん — 矛盾
均衡 (noun)	きんこう — 均衡; 平衡
吟味 (verb-noun)	ぎんみ — 斟酌; 审查
駆使 (verb-noun)	くし — 熟练运用
句読点 (noun)	くとうてん — 标点符号
群集 (noun)	ぐんしゅう — 群体; 群众
傾斜 (verb-noun)	けいしゃ — 倾斜; 偏向
継承 (verb-noun)	けいしょう — 继承
形骸化 (verb-noun)	けいがいか — 形式化; 空洞化
掲示 (verb-noun)	けいじ — 公告; 张贴
欠如 (verb-noun)	けつじょ — 缺乏
顕著 (na-adj)	けんちょ — 显著
検証 (verb-noun)	けんしょう — 验证; 证实
厳密 (na-adj)	げんみつ — 严密; 精确
誤差 (noun)	ごさ — 误差
互換 (noun)	ごかん — 互换; 兼容
孤立 (verb-noun)	こりつ — 孤立
混同 (verb-noun)	こんどう — 混淆
再現 (verb-noun)	さいげん — 再现; 复现
採択 (verb-noun)	さいたく — 采纳
裁量 (noun)	さいりょう — 裁量; 自主决定
咀嚼 (verb-noun)	そしゃく — 咀嚼; 反复体会
左遷 (verb-noun)	させん — 降职; 贬职
作為 (noun)	さくい — 人为; 做作
錯覚 (noun)	さっかく — 错觉
妥協 (verb-noun)	だきょう — 妥协
妥当 (na-adj)	だとう — 妥当; 合理
堕落 (verb-noun)	だらく — 堕落
単一 (noun)	たんいつ — 单一
陳腐 (na-adj)	ちんぷ — 陈腐; 老套
追及 (verb-noun)	ついきゅう — 追究; 追问
追求 (verb-noun)	ついきゅう — 追求
追跡 (verb-noun)	ついせき — 追踪
提携 (verb-noun)	ていけい — 合作; 结成伙伴
提示 (verb-noun)	ていじ — 出示; 提示
訂正 (verb-noun)	ていせい — 订正
徹底 (verb-noun)	てってい — 彻底
転嫁 (verb-noun)	てんか — 转嫁
統括 (verb-noun)	とうかつ — 统筹; 总括
統合 (verb-noun)	とうごう — 整合; 统合
到達 (verb-noun)	とうたつ — 到达
同調 (verb-noun)	どうちょう — 同调; 附和
動向 (noun)	どうこう — 动向; 趋势
淘汰 (verb-noun)	とうた — 淘汰
特筆 (verb-noun)	とくひつ — 特笔; 特别值得一提
内包 (verb-noun)	ないほう — 内涵; 包含
難航 (verb-noun)	なんこう — 进展困难
波及 (verb-noun)	はきゅう — 波及; 影响扩散
破綻 (verb-noun)	はたん — 破产; 破绽
抜粋 (verb-noun)	ばっすい — 摘录; 选录
罰則 (noun)	ばっそく — 惩罚条款
発足 (verb-noun)	ほっそく — 成立; 启动
反映 (verb-noun)	はんえい — 反映
繁栄 (verb-noun)	はんえい — 繁荣
氾濫 (verb-noun)	はんらん — 泛滥
肥大化 (verb-noun)	ひだいか — 肥大化; 过度膨胀
非難 (verb-noun)	ひなん — 非难; 指责
否決 (verb-noun)	ひけつ — 否决
疲弊 (verb-noun)	ひへい — 疲敝; 衰弱
付随 (verb-noun)	ふずい — 附带; 伴随
浮上 (verb-noun)	ふじょう — 浮现; 上浮
腐敗 (verb-noun)	ふはい — 腐败
赴任 (verb-noun)	ふにん — 赴任
負荷 (noun)	ふか — 负荷
紛糾 (verb-noun)	ふんきゅう — 纷争; 纠葛
分岐 (verb-noun)	ぶんき — 分岐; 分叉
並行 (verb-noun)	へいこう — 并行; 同时进行
閉鎖 (verb-noun)	へいさ — 封闭; 关闭
変遷 (verb-noun)	へんせん — 变迁
補完 (verb-noun)	ほかん — 补完; 补充
補足 (verb-noun)	ほそく — 补充; 补足
模索 (verb-noun)	もさく — 摸索
網羅 (verb-noun)	もうら — 网罗; 全面覆盖
有益 (na-adj)	ゆうえき — 有益
誘致 (verb-noun)	ゆうち — 引进; 招徕
抑制 (verb-noun)	よくせい — 抑制; 控制
予断 (noun)	よだん — 预断; 过早判断
来訪 (verb-noun)	らいほう — 来访
利害 (noun)	りがい — 利害
流布 (verb-noun)	るふ — 流传; 散布
冷遇 (verb-noun)	れいぐう — 冷遇
浪費 (verb-noun)	ろうひ — 浪费
露呈 (verb-noun)	ろてい — 暴露; 揭示
論拠 (noun)	ろんきょ — 论据
論旨 (noun)	ろんし — 论旨; 主旨
割愛 (verb-noun)	かつあい — 割爱; 舍弃
隔絶 (verb-noun)	かくぜつ — 隔绝
確信 (verb-noun)	かくしん — 确信
確立 (verb-noun)	かくりつ — 确立
過度 (na-adj)	かど — 过度
干渉 (verb-noun)	かんしょう — 干涉
監視 (verb-noun)	かんし — 监视
貫徹 (verb-noun)	かんてつ — 贯彻
旗印 (noun)	はたじるし — 旗号; 旗帜
既成 (na-adj)	きせい — n 既成; 现成
忌避 (verb-noun)	きひ — 回避; 忌讳
希求 (verb-noun)	ききゅう — 渴求; 希求
起因 (verb-noun)	きいん — 起因; 由来
危惧 (verb-noun)	きぐ — 担忧; 忧虑
稀有 (na-adj)	きゆう — 稀有
均質 (na-adj)	きんしつ — 均质; 同质
緊密 (na-adj)	きんみつ — 紧密
禁物 (noun)	きんもつ — 忌讳之物; 应避免的事
駆動 (verb-noun)	くどう — 驱动
掘削 (verb-noun)	くっさく — 开采; 开挖
係争 (verb-noun)	けいそう — 争议; 诉讼
綱領 (noun)	こうりょう — 纲领
恒常 (na-adj)	こうじょう — 恒常; 持续稳定
抗弁 (verb-noun)	こうべん — 抗辩
考証 (verb-noun)	こうしょう — 考证
合議 (verb-noun)	ごうぎ — 合议; 合议制
誤謬 (noun)	ごびゅう — 谬误
再編 (verb-noun)	さいへん — 重组; 再编
再燃 (verb-noun)	さいねん — 死灰复燃
採算 (noun)	さいさん — 经济核算; 收支
細分 (verb-noun)	さいぶん — 细分
削減 (verb-noun)	さくげん — 削减
策定 (verb-noun)	さくてい — 制定; 策划
指針 (noun)	ししん — 指针; 指南
試算 (verb-noun)	しさん — 试算
自負 (verb-noun)	じふ — 自负; 自信
是正 (verb-noun)	ぜせい — 纠正; 校正
増殖 (verb-noun)	ぞうしょく — 增殖
遜色 (noun)	そんしょく — 逊色
多岐 (na-adj)	たき — 多岐; 多方面
端緒 (noun)	たんしょ — 端倪; 线索
知見 (noun)	ちけん — 见解; 认识
抽出 (verb-noun)	ちゅうしゅつ — 抽取
