ろうせい	老成 (na-adj) — 老成; 老练
ろうこう	老巧 (na-adj) — 老练巧妙
ろうする	弄する (vs) — 玩弄; 操纵
ろうしょう	労相 (noun) — 劳相（劳动大臣）
ろうきほう	労基法 (noun) — 劳动基准法
ろうわ	漏話 (noun) — 漏话
ろうろう	浪々 (adv) — 飘零
ろんきゃく	論客 (noun) — 论客
ろんこう	論考 (noun) — 论文; 论考
わしゅうごう	和集合 (noun) — 并集
わんぱく	腕白 (na-adj) — 顽皮
あんぜん	暗然 (na-adj) — 黯然
さんぽう	算法 (noun) — 算法（古）
いぎぶかい	意義深い (na-adj) — 意义深远
いちぎてき	一義的 (na-adj) — 单义的; 明确的
いっこだにしない	一顧だにしない (expr) — 不屑一顾
いちげんか	一元化 (verb-noun) — 一元化
いつざい	逸材 (noun) — 奇才
いんよう	引用 (verb-noun) — 引用
うせつ	右折 (verb-noun) — 右转
ゆうきようばい	有機溶媒 (noun) — 有机溶剂
ゆうせんけん	優先権 (noun) — 优先权
ゆうえつかん	優越感 (noun) — 优越感
よそ	余所 (noun) — 别处; 他处
よそくかのうせい	予測可能性 (noun) — 可预测性
よくようきごう	抑揚記号 (noun) — 语调符号
おちぼひろい	落穂拾い (noun) — 拾穗; 拾遗
らんしょう	濫觴 (noun) — 滥觞; 根源
りしゅう	履修 (verb-noun) — 修读
りえきゆうどう	利益誘導 (noun) — 利益引导
りょうさいけんぼ	良妻賢母 (noun) — 贤妻良母
りんけん	臨検 (verb-noun) — 临检
るいご	類語 (noun) — 类语; 同义词
れいげん	冷厳 (na-adj) — 冷峻; 严峻
れいさいか	零細化 (verb-noun) — 细碎化
ろうそほう	労組法 (noun) — 工会法
ろうし	労使 (noun) — 劳资
ろうれい	老齢 (noun) — 高龄
ろうにんせいかつ	浪人生活 (noun) — 复读生活/待业
ろんせつ	論説 (noun) — 评论; 论文
わぶんわやく	和文和訳 (noun) — 日文互译
うできき	腕利き (na-adj) — 能干; 有本事
あんうん	暗雲 (noun) — 乌云
さんだん	算段 (verb-noun) — 筹划
いわかん	違和感 (noun) — 违和感
いっけん	一見 (adv) — 乍看
いっこうに	一向に (adv) — 丝毫（不）
いっきょりょうとく	一挙両得 (noun) — 一举两得
いっしつ	逸失 (noun) — 丧失
いんようぶん	引用文 (noun) — 引文
うおうさおうする	右往左往する (vs) — 慌乱
ゆうりふり	有利不利 (noun) — 有利与不利
ゆうせんじゅんい	優先順位 (noun) — 优先顺序
よだん	余談 (noun) — 题外话
よそうがい	予想外 (na-adj) — 意外
おさえこむ	抑え込む (v1) — 压制
らっかせい	落花生 (noun) — 花生
らんぴ	濫費 (verb-noun) — 浪费
りしゅうとうろく	履修登録 (noun) — 选课注册
りえきそうはん	利益相反 (noun) — 利益冲突
りょうさく	良策 (noun) — 良策
りんしょうしんり	臨床心理 (noun) — 临床心理
るいすいほう	類推法 (noun) — 类推法
れいしょう	冷笑 (verb-noun) — 冷笑
れいさいじぎょうしゃ	零細事業者 (noun) — 小微经营者
ろうしかんけい	労使関係 (noun) — 劳资关系
ろうしょうしゅうにん	労相就任 (noun) — 就任劳动大臣
ろうかい	老獪 (na-adj) — 老奸巨猾
ろうひぐせ	浪費癖 (noun) — 浪费习惯
ろんそう	論争 (verb-noun) — 论争
わよう	和洋 (noun) — 和洋
うでたてふせ	腕立て伏せ (noun) — 俯卧撑
あんごうかぎ	暗号鍵 (noun) — 加密密钥
さんよう	算用 (noun) — 算用; 计算
いけん	違憲 (na-adj) — 违宪
