id,kanji,reading,pos,meaning_zh,reading_type,reading_type_note
501,冷酷,れいこく,na-adj,冷酷,音,漢語（多く音読み）と推定
502,冷静,れいせい,na-adj,冷静,音,漢語（多く音読み）と推定
503,励行,れいこう,verb-noun,厉行; 认真执行,音,漢語（多く音読み）と推定
504,劣化,れっか,verb-noun,劣化,音,漢語（多く音読み）と推定
505,劣勢,れっせい,na-adj,劣势,音,漢語（多く音読み）と推定
506,連携,れんけい,verb-noun,联动,音,漢語（多く音読み）と推定
507,連携強化,れんけいきょうか,verb-noun,强化联动,音,漢語（多く音読み）と推定
508,連帯,れんたい,verb-noun,连带; 团结,音,漢語（多く音読み）と推定
509,連結,れんけつ,verb-noun,连接,音,漢語（多く音読み）と推定
510,露骨,ろこつ,na-adj,露骨,音,漢語（多く音読み）と推定
511,論述,ろんじゅつ,verb-noun,论述,音,漢語（多く音読み）と推定
512,和解,わかい,verb-noun,和解,音,漢語（多く音読み）と推定
513,倭国,わこく,noun,倭国（古称）,音,漢語（多く音読み）と推定
514,話法,わほう,noun,话法; 引语方式,音,漢語（多く音読み）と推定
515,弁える,わきまえる,v1,分辨; 明白分寸,訓/混合,okuriganaあり → 和語/混合の可能性高
516,悪循環,あくじゅんかん,noun,恶性循环,音,漢語（多く音読み）と推定
517,悪用,あくよう,verb-noun,滥用,音,漢語（多く音読み）と推定
518,安泰,あんたい,na-adj,安泰,音,漢語（多く音読み）と推定
519,暗示,あんじ,verb-noun,暗示,音,漢語（多く音読み）と推定
520,意気込み,いきごみ,noun,干劲,訓/混合,okuriganaあり → 和語/混合の可能性高
521,意向,いこう,noun,意向,音,漢語（多く音読み）と推定
522,意向調査,いこうちょうさ,noun,意向调查,音,漢語（多く音読み）と推定
523,異存,いぞん,noun,异议,音,漢語（多く音読み）と推定
524,移住,いじゅう,verb-noun,移居,音,漢語（多く音読み）と推定
525,遺伝,いでん,verb-noun,遗传,音,漢語（多く音読み）と推定
526,一貫,いっかん,verb-noun,一贯,音,漢語（多く音読み）と推定
527,逸話,いつわ,noun,轶事,音,漢語（多く音読み）と推定
528,稲妻,いなずま,noun,闪电,音,漢語（多く音読み）と推定
529,因果,いんが,noun,因果,音,漢語（多く音読み）と推定
530,因習,いんしゅう,noun,因循; 旧习,音,漢語（多く音読み）と推定
531,引率,いんそつ,verb-noun,带队,音,漢語（多く音読み）と推定
532,引証,いんしょう,verb-noun,引证,音,漢語（多く音読み）と推定
533,飲食店,いんしょくてん,noun,饮食店,音,漢語（多く音読み）と推定
534,陰湿,いんしつ,na-adj,阴险; 阴湿,音,漢語（多く音読み）と推定
535,右腕,うわん,noun,得力助手,音,漢語（多く音読み）と推定
536,迂遠,うえん,na-adj,迂远; 曲折,音,漢語（多く音読み）と推定
537,有形,ゆうけい,na-adj,有形,音,漢語（多く音読み）と推定
538,有識者,ゆうしきしゃ,noun,有识之士,音,漢語（多く音読み）と推定
539,優遇,ゆうぐう,verb-noun,优待,音,漢語（多く音読み）と推定
540,融和,ゆうわ,verb-noun,融洽; 和解,音,漢語（多く音読み）と推定
541,猶予,ゆうよ,verb-noun,宽限; 缓期,音,漢語（多く音読み）と推定
542,余剰,よじょう,noun,剩余,音,漢語（多く音読み）と推定
543,余念,よねん,noun,杂念; 牵挂,音,漢語（多く音読み）と推定
544,抑圧,よくあつ,verb-noun,压抑,音,漢語（多く音読み）と推定
545,落下,らっか,verb-noun,落下,音,漢語（多く音読み）と推定
546,落成,らくせい,verb-noun,落成,音,漢語（多く音読み）と推定
547,落葉,らくよう,noun,落叶,音,漢語（多く音読み）と推定
548,理屈,りくつ,noun,道理; 理由,音,漢語（多く音読み）と推定
549,理性,りせい,noun,理性,音,漢語（多く音読み）と推定
550,理路整然,りろせいぜん,adv,条理分明,音,漢語（多く音読み）と推定
551,裏腹,うらはら,na-adj,相反; 表里不同,音,漢語（多く音読み）と推定
552,陸橋,りっきょう,noun,天桥,音,漢語（多く音読み）と推定
553,略語,りゃくご,noun,缩略词,音,漢語（多く音読み）と推定
554,凌駕,りょうが,verb-noun,凌驾,音,漢語（多く音読み）と推定
555,臨時,りんじ,na-adj,临时,音,漢語（多く音読み）と推定
556,隣人,りんじん,noun,邻人,音,漢語（多く音読み）と推定
557,累進,るいしん,verb-noun,累进,音,漢語（多く音読み）と推定
558,零細,れいさい,na-adj,零散; 微小,音,漢語（多く音読み）と推定
559,冷淡,れいたん,na-adj,冷淡,音,漢語（多く音読み）と推定
560,老朽,ろうきゅう,na-adj,老朽; 破旧,音,漢語（多く音読み）と推定
561,漏洩,ろうえい,verb-noun,泄漏,音,漢語（多く音読み）と推定
